data,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Mês (Código),Mês,Variável (Código),Variável,data
1993-01-01,1,Brasil,2,%,30.35,1,Brasil,199301,janeiro 1993,63,IPCA - Variação mensal,1993-01-01
1993-02-01,1,Brasil,2,%,24.98,1,Brasil,199302,fevereiro 1993,63,IPCA - Variação mensal,1993-02-01
1993-03-01,1,Brasil,2,%,27.26,1,Brasil,199303,março 1993,63,IPCA - Variação mensal,1993-03-01
1993-04-01,1,Brasil,2,%,27.75,1,Brasil,199304,abril 1993,63,IPCA - Variação mensal,1993-04-01
1993-05-01,1,Brasil,2,%,27.69,1,Brasil,199305,maio 1993,63,IPCA - Variação mensal,1993-05-01
1993-06-01,1,Brasil,2,%,30.07,1,Brasil,199306,junho 1993,63,IPCA - Variação mensal,1993-06-01
1993-07-01,1,Brasil,2,%,30.72,1,Brasil,199307,julho 1993,63,IPCA - Variação mensal,1993-07-01
1993-08-01,1,Brasil,2,%,32.96,1,Brasil,199308,agosto 1993,63,IPCA - Variação mensal,1993-08-01
1993-09-01,1,Brasil,2,%,35.69,1,Brasil,199309,setembro 1993,63,IPCA - Variação mensal,1993-09-01
1993-10-01,1,Brasil,2,%,33.92,1,Brasil,199310,outubro 1993,63,IPCA - Variação mensal,1993-10-01
1993-11-01,1,Brasil,2,%,35.56,1,Brasil,199311,novembro 1993,63,IPCA - Variação mensal,1993-11-01
1993-12-01,1,Brasil,2,%,36.84,1,Brasil,199312,dezembro 1993,63,IPCA - Variação mensal,1993-12-01
1994-01-01,1,Brasil,2,%,41.31,1,Brasil,199401,janeiro 1994,63,IPCA - Variação mensal,1994-01-01
1994-02-01,1,Brasil,2,%,40.27,1,Brasil,199402,fevereiro 1994,63,IPCA - Variação mensal,1994-02-01
1994-03-01,1,Brasil,2,%,42.75,1,Brasil,199403,março 1994,63,IPCA - Variação mensal,1994-03-01
1994-04-01,1,Brasil,2,%,42.68,1,Brasil,199404,abril 1994,63,IPCA - Variação mensal,1994-04-01
1994-05-01,1,Brasil,2,%,44.03,1,Brasil,199405,maio 1994,63,IPCA - Variação mensal,1994-05-01
1994-06-01,1,Brasil,2,%,47.43,1,Brasil,199406,junho 1994,63,IPCA - Variação mensal,1994-06-01
